"","V1"
"alcohol 8:base 1:sulfonyl-fluoride1",0
"alcohol 8:base 1:sulfonyl-fluoride2",0
"alcohol 8:base 1:sulfonyl-fluoride3",0
"alcohol 8:base 1:sulfonyl-fluoride4",0
"alcohol 8:base 2:sulfonyl-fluoride1",0
"alcohol 8:base 2:sulfonyl-fluoride2",0
"alcohol 8:base 2:sulfonyl-fluoride3",0
"alcohol 8:base 2:sulfonyl-fluoride4",0
"alcohol 8:base 3:sulfonyl-fluoride1",0
"alcohol 8:base 3:sulfonyl-fluoride2",0
"alcohol 8:base 3:sulfonyl-fluoride3",0
"alcohol 8:base 3:sulfonyl-fluoride4",0
"alcohol 9:base 1:sulfonyl-fluoride1",0
"alcohol 9:base 1:sulfonyl-fluoride2",0
"alcohol 9:base 1:sulfonyl-fluoride3",0
"alcohol 9:base 1:sulfonyl-fluoride4",0
"alcohol 9:base 2:sulfonyl-fluoride1",0
"alcohol 9:base 2:sulfonyl-fluoride2",0
"alcohol 9:base 2:sulfonyl-fluoride3",0
"alcohol 9:base 2:sulfonyl-fluoride4",0
"alcohol 9:base 3:sulfonyl-fluoride1",0
"alcohol 9:base 3:sulfonyl-fluoride2",0
"alcohol 9:base 3:sulfonyl-fluoride3",0
"alcohol 9:base 3:sulfonyl-fluoride4",0
"alcohol 10:base 1:sulfonyl-fluoride1",0
"alcohol 10:base 1:sulfonyl-fluoride2",0
"alcohol 10:base 1:sulfonyl-fluoride3",0
"alcohol 10:base 1:sulfonyl-fluoride4",0
"alcohol 10:base 2:sulfonyl-fluoride1",0
"alcohol 10:base 2:sulfonyl-fluoride2",0
"alcohol 10:base 2:sulfonyl-fluoride3",0
"alcohol 10:base 2:sulfonyl-fluoride4",0.915532110648948
"alcohol 10:base 3:sulfonyl-fluoride1",0
"alcohol 10:base 3:sulfonyl-fluoride2",0
"alcohol 10:base 3:sulfonyl-fluoride3",0
"alcohol 10:base 3:sulfonyl-fluoride4",0
"alcohol 11:base 1:sulfonyl-fluoride1",0
"alcohol 11:base 1:sulfonyl-fluoride2",0
"alcohol 11:base 1:sulfonyl-fluoride3",0
"alcohol 11:base 1:sulfonyl-fluoride4",0
"alcohol 11:base 2:sulfonyl-fluoride1",0
"alcohol 11:base 2:sulfonyl-fluoride2",0
"alcohol 11:base 2:sulfonyl-fluoride3",0
"alcohol 11:base 2:sulfonyl-fluoride4",0
"alcohol 11:base 3:sulfonyl-fluoride1",0
"alcohol 11:base 3:sulfonyl-fluoride2",0
"alcohol 11:base 3:sulfonyl-fluoride3",0
"alcohol 11:base 3:sulfonyl-fluoride4",0
"alcohol 12:base 1:sulfonyl-fluoride1",0
"alcohol 12:base 1:sulfonyl-fluoride2",0
"alcohol 12:base 1:sulfonyl-fluoride3",0
"alcohol 12:base 1:sulfonyl-fluoride4",0
"alcohol 12:base 2:sulfonyl-fluoride1",0
"alcohol 12:base 2:sulfonyl-fluoride2",0
"alcohol 12:base 2:sulfonyl-fluoride3",0
"alcohol 12:base 2:sulfonyl-fluoride4",0
"alcohol 12:base 3:sulfonyl-fluoride1",0
"alcohol 12:base 3:sulfonyl-fluoride2",0
"alcohol 12:base 3:sulfonyl-fluoride3",0
"alcohol 12:base 3:sulfonyl-fluoride4",0
"alcohol 13:base 1:sulfonyl-fluoride1",0
"alcohol 13:base 1:sulfonyl-fluoride2",0
"alcohol 13:base 1:sulfonyl-fluoride3",0
"alcohol 13:base 1:sulfonyl-fluoride4",0
"alcohol 13:base 2:sulfonyl-fluoride1",0
"alcohol 13:base 2:sulfonyl-fluoride2",1.31729488517577
"alcohol 13:base 2:sulfonyl-fluoride3",0.074389378297455
"alcohol 13:base 2:sulfonyl-fluoride4",-1.79240166267153
"alcohol 13:base 3:sulfonyl-fluoride1",0
"alcohol 13:base 3:sulfonyl-fluoride2",0
"alcohol 13:base 3:sulfonyl-fluoride3",0
"alcohol 13:base 3:sulfonyl-fluoride4",0
"alcohol 14:base 1:sulfonyl-fluoride1",0
"alcohol 14:base 1:sulfonyl-fluoride2",0
"alcohol 14:base 1:sulfonyl-fluoride3",0
"alcohol 14:base 1:sulfonyl-fluoride4",0
"alcohol 14:base 2:sulfonyl-fluoride1",0
"alcohol 14:base 2:sulfonyl-fluoride2",0
"alcohol 14:base 2:sulfonyl-fluoride3",0
"alcohol 14:base 2:sulfonyl-fluoride4",0
"alcohol 14:base 3:sulfonyl-fluoride1",0
"alcohol 14:base 3:sulfonyl-fluoride2",0
"alcohol 14:base 3:sulfonyl-fluoride3",0
"alcohol 14:base 3:sulfonyl-fluoride4",0
"alcohol 15:base 1:sulfonyl-fluoride1",0
"alcohol 15:base 1:sulfonyl-fluoride2",0
"alcohol 15:base 1:sulfonyl-fluoride3",0
"alcohol 15:base 1:sulfonyl-fluoride4",0
"alcohol 15:base 2:sulfonyl-fluoride1",0
"alcohol 15:base 2:sulfonyl-fluoride2",0
"alcohol 15:base 2:sulfonyl-fluoride3",0
"alcohol 15:base 2:sulfonyl-fluoride4",0
"alcohol 15:base 3:sulfonyl-fluoride1",0
"alcohol 15:base 3:sulfonyl-fluoride2",0
"alcohol 15:base 3:sulfonyl-fluoride3",0
"alcohol 15:base 3:sulfonyl-fluoride4",0
"alcohol 16:base 1:sulfonyl-fluoride1",0
"alcohol 16:base 1:sulfonyl-fluoride2",0
"alcohol 16:base 1:sulfonyl-fluoride3",0
"alcohol 16:base 1:sulfonyl-fluoride4",0
"alcohol 16:base 2:sulfonyl-fluoride1",0
"alcohol 16:base 2:sulfonyl-fluoride2",0
"alcohol 16:base 2:sulfonyl-fluoride3",0
"alcohol 16:base 2:sulfonyl-fluoride4",0
"alcohol 16:base 3:sulfonyl-fluoride1",0
"alcohol 16:base 3:sulfonyl-fluoride2",0
"alcohol 16:base 3:sulfonyl-fluoride3",0
"alcohol 16:base 3:sulfonyl-fluoride4",0
"alcohol 17:base 1:sulfonyl-fluoride1",0
"alcohol 17:base 1:sulfonyl-fluoride2",0
"alcohol 17:base 1:sulfonyl-fluoride3",0
"alcohol 17:base 1:sulfonyl-fluoride4",0
"alcohol 17:base 2:sulfonyl-fluoride1",0
"alcohol 17:base 2:sulfonyl-fluoride2",0
"alcohol 17:base 2:sulfonyl-fluoride3",0
"alcohol 17:base 2:sulfonyl-fluoride4",0
"alcohol 17:base 3:sulfonyl-fluoride1",0
"alcohol 17:base 3:sulfonyl-fluoride2",0
